DATE,TOTAL,TIME,PM2.5,SO2_TIME,Location,YEAR,SO2
2018-05-01,9,2018-05-01 00:00:00,2.78506967e-08,2018-05-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2018,
2018-06-01,5,2018-06-01 00:00:00,2.06731444e-08,2018-06-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2018,
2018-07-01,7,2018-07-01 00:00:00,1.4433399e-08,2018-07-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2018,
2018-08-01,13,2018-08-01 00:00:00,1.00977091e-08,2018-08-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2018,
2018-09-01,3,2018-09-01 00:00:00,1.4949343e-08,2018-09-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2018,
2018-10-01,17,2018-10-01 00:00:00,2.66437136e-08,2018-10-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2018,
2018-11-01,24,2018-11-01 00:00:00,4.2237292e-08,2018-11-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2018,
2018-12-01,37,2018-12-01 00:00:00,1.34906335e-07,2018-12-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2018,
2019-01-01,11,2019-01-01 00:00:00,8.80164325e-08,2019-01-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2019,
2019-02-01,15,2019-02-01 00:00:00,1.01658351e-07,2019-02-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2019,
2019-03-01,14,2019-03-01 00:00:00,5.55682514e-08,2019-03-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2019,
2019-04-01,15,2019-04-01 00:00:00,4.36338896e-08,2019-04-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2019,
2019-05-01,4,2019-05-01 00:00:00,2.53620374e-08,2019-05-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2019,
2019-06-01,5,2019-06-01 00:00:00,1.61142121e-08,2019-06-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2019,
2019-07-01,2,2019-07-01 00:00:00,1.31156442e-08,2019-07-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2019,
2019-08-01,3,2019-08-01 00:00:00,9.57207331e-09,2019-08-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2019,
2019-09-01,3,2019-09-01 00:00:00,1.8680536e-08,2019-09-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2019,
2019-10-01,5,2019-10-01 00:00:00,1.85109857e-08,2019-10-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2019,
2019-11-01,14,2019-11-01 00:00:00,3.40312317e-08,2019-11-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2019,
2019-12-01,17,2019-12-01 00:00:00,6.55532141e-08,2019-12-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2019,
2020-01-01,16,2020-01-01 00:00:00,1.67077488e-07,2020-01-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2020,
2020-02-01,12,2020-02-01 00:00:00,1.53799385e-07,2020-02-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2020,
2020-03-01,13,2020-03-01 00:00:00,6.04906276e-08,2020-03-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2020,
2020-04-01,7,2020-04-01 00:00:00,4.61113001e-08,2020-04-01 00:00:00,STATION 3 GENERAL HOSPITAL IKERE,2020,
